ID,Price,SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,RenovationQuality,LocalAmenities,TransportAccess,Fireplace,HouseColor,Garage,Floors,Windows,PreviousSalePrice,IsLuxury
3704,-0.9226803082740604,1027.55,-0.49434778861038964,-1.9655898002294858,498.04,20.68,2.7,87.26,29.83,89.89,1.44,0.85,9.72,6.34,No,Yellow,No,1,13,84596.30737,0
4540,-0.6049717559570685,1010.25,1.259568451304899,-0.008388007682344774,587.34,0.27,8.51,23.44,15.24,86.92,1.87,3.83,8.2,6.56,No,White,Yes,1,17,243405.329,0
4813,-0.5418681496119505,825.1,2.193501486431757,-0.9869889039559153,1158.99,64.25,6.68,36.68,24.23,96.93,0.9,6.82,2.49,4.92,Yes,Blue,No,2,38,421392.4962,0
5700,-1.298506974739565,550.0,-0.5664340879890988,-0.008388007682344774,470.25,48.26,5.31,82.59,14.52,91.3,1.3,3.31,7.03,3.0,Yes,Yellow,No,1,15,33087.15146,0
3017,-0.8328899426042792,550.0,-0.5429417067109614,-0.008388007682344774,21.78,53.89,5.09,36.83,26.37,86.5,1.11,4.34,1.85,0.59,Yes,Green,No,1,11,92027.62242,0
1640,-0.8617303172184881,550.0,-0.8047858848446512,1.9488137848647964,236.62,20.36,8.9,62.2,13.45,92.61,2.19,5.61,3.98,3.62,No,Red,Yes,2,27,159752.1044,0
3797,-0.602562155003893,907.53,-0.44613476264524893,-0.008388007682344774,748.6,3.35,6.16,25.9,14.94,97.19,1.31,2.72,8.73,7.1,No,White,No,1,32,189771.7778,0
4114,-0.2252982062367018,1464.65,-0.1375498427086371,0.9702128885912258,243.16,31.63,8.02,43.22,8.04,90.85,1.84,4.39,7.62,8.15,No,Yellow,No,1,12,479917.4985,0
3532,-0.8454261185136661,712.06,-0.02536991664352048,-0.008388007682344774,216.75,49.75,4.38,20.37,15.73,96.83,1.77,2.18,5.32,5.11,No,White,No,2,36,94392.3468,0
2909,-1.1441691155872977,550.0,-0.6789344269895599,-0.008388007682344774,172.4,18.49,8.48,38.54,9.04,96.97,1.14,2.64,9.06,4.57,No,Blue,No,1,20,27963.28451,0
3909,-0.8607260911772008,1500.21,-0.7846710221650525,0.9702128885912258,743.08,78.98,1.94,23.18,6.1,83.82,0.79,2.14,7.25,4.61,No,White,Yes,1,19,214373.7405,0
5096,-0.7695806220656645,550.0,-0.7197548466046135,-0.008388007682344774,655.46,52.51,3.55,18.21,42.24,96.62,1.87,3.69,5.77,5.34,No,Yellow,No,1,9,209999.7907,0
3850,-0.26050506973599236,718.38,-0.5506763996520299,-0.008388007682344774,675.71,3.78,8.99,58.3,9.15,97.98,2.48,3.81,4.03,0.59,No,White,No,1,18,183357.6697,0
4143,-0.9588529854808048,611.78,1.0610694005637618,-0.9869889039559153,779.85,9.41,5.23,39.83,13.24,95.3,1.13,3.39,6.31,5.78,No,Green,Yes,1,7,169478.8411,0
58,-0.2954993891169268,550.0,0.3380102304952672,0.9702128885912258,614.11,27.62,8.7,88.31,25.87,91.95,1.45,7.92,6.05,5.74,Yes,Green,Yes,2,38,314738.3821,0
1616,-1.3234206080549067,795.4,-1.075239288554255,-0.9869889039559153,893.35,4.32,3.63,61.43,15.74,87.3,1.31,4.03,1.22,3.76,No,Blue,Yes,1,13,22708.92432,0
5250,-1.3361281141210979,934.57,1.3804705591855093,-1.9655898002294858,346.34,79.29,7.52,45.2,2.14,84.45,2.36,4.1,1.63,3.37,Yes,White,Yes,2,35,24101.41437,0
4112,-0.7094138794142626,550.0,-0.6530425891439678,-0.9869889039559153,543.23,18.71,4.44,96.14,19.52,92.18,2.37,0.81,7.04,4.76,No,Red,No,1,20,125026.9211,1
2415,-0.6133416497327873,1096.85,-0.6161110547459221,-0.008388007682344774,486.18,52.0,3.4,113.55,13.98,88.63,1.2,2.14,7.49,8.24,No,Green,No,1,7,199218.9188,0
1098,-0.23573476361915474,550.0,-1.1878277437103808,0.9702128885912258,116.43,9.97,5.82,34.9,7.69,96.68,1.7,4.96,7.03,5.23,Yes,Blue,No,1,6,162823.5977,0
6266,-1.06822008744096,977.51,-1.1878277437103808,-0.008388007682344774,1144.03,22.86,7.33,11.24,11.38,96.35,1.76,5.59,4.58,6.03,No,Yellow,No,1,23,135980.2844,1
4446,-0.6589858804028133,1277.39,-1.1878277437103808,-0.008388007682344774,350.4,66.94,8.88,26.85,4.53,99.9,1.25,4.78,8.13,10.0,No,White,Yes,1,18,256113.5839,0
1615,-0.9181984810813167,550.0,-0.6114968558766091,-0.9869889039559153,424.07,43.05,3.52,16.06,26.29,91.82,2.42,1.57,8.09,7.78,No,Blue,Yes,1,12,67696.06394,0
4217,-0.8208299115500799,1005.49,0.1912214543621838,-0.9869889039559153,330.77,36.35,10.0,13.63,16.66,96.17,2.01,4.65,8.38,5.53,Yes,Red,Yes,1,17,166379.8208,0
2271,-1.3080315853180344,682.33,0.45016635480457406,-0.9869889039559153,135.8,15.61,8.32,2.79,9.66,96.32,1.81,5.17,1.98,8.74,No,Blue,No,1,24,20936.86423,0
3144,-0.2522139292026659,1447.99,0.9787050324718252,-0.008388007682344774,601.19,3.76,8.97,60.23,14.15,95.59,1.5,4.09,8.36,8.92,No,Green,No,1,11,285060.0242,0
5124,-0.8368157928696576,1104.41,0.054236495566740386,-0.008388007682344774,848.77,25.92,6.99,86.15,15.15,91.28,1.64,5.03,0.33,2.55,No,Yellow,No,1,19,180548.0584,0
3586,-1.2005170525279003,550.0,0.4527194419366751,-1.9655898002294858,403.9,16.07,6.97,71.52,27.16,99.9,1.51,6.42,4.33,5.68,No,White,Yes,1,10,45714.92155,0
4920,-0.32477932227179274,652.12,0.39983517624849285,-0.008388007682344774,558.57,13.08,6.99,21.08,16.96,92.63,1.17,3.78,7.51,6.53,No,Green,No,1,3,212152.7609,0
62,-1.2901752928484416,550.0,-0.7128850799261245,-0.008388007682344774,272.87,10.16,4.52,138.66,40.12,91.94,1.12,3.49,3.54,7.48,Yes,White,Yes,2,7,26415.70062,0
4319,-0.8709837466160275,550.0,-1.1878277437103808,-0.9869889039559153,172.25,25.83,6.14,18.11,10.22,95.01,2.11,5.07,0.32,2.11,No,Yellow,No,1,8,112638.8583,0
5995,-1.2415179398696976,550.0,-0.9557288154036471,-0.008388007682344774,778.8,0.45,5.58,49.95,28.63,99.9,0.88,2.27,8.11,6.47,No,Red,Yes,2,21,54207.95244,0
133,-0.38189449232181777,1004.76,-0.7881869638635067,-0.9869889039559153,838.79,30.1,3.89,29.4,21.78,99.11,1.45,3.56,0.66,3.9,No,Blue,Yes,1,20,136462.0516,0
3133,-0.49111485145509487,1332.25,0.45478023136172485,-0.008388007682344774,312.96,26.55,8.77,78.36,39.34,84.17,2.42,5.52,10.0,7.53,No,Red,Yes,1,11,244259.2439,0
2570,-0.9634621558766873,690.37,-1.1878277437103808,-1.9655898002294858,685.37,8.53,4.94,117.74,22.2,96.37,1.22,3.07,5.64,3.69,No,White,No,2,32,91242.42816,0
897,-1.4017285256282859,1203.41,-0.9063333101048504,-0.9869889039559153,719.25,38.5,7.07,76.66,36.93,95.07,1.8,3.32,7.39,6.35,Yes,Yellow,No,2,18,10402.19298,0
5683,-0.3371518223882924,1555.84,-1.1878277437103808,-0.008388007682344774,280.54,43.66,7.83,42.56,19.35,94.3,1.46,4.29,6.78,6.6,Yes,Yellow,No,1,20,214773.8382,1
3712,-0.7779737393173592,550.0,1.270099213803314,-1.9655898002294858,754.56,3.18,5.8,15.95,25.03,92.36,1.66,2.25,4.21,3.78,Yes,Green,No,1,11,87192.80529,0
1154,-0.494843494299612,1615.82,-1.1878277437103808,-0.9869889039559153,513.8,9.94,5.55,55.17,10.58,93.8,2.11,3.01,3.34,0.67,No,Blue,No,1,18,157311.2208,0
3310,-0.9396888249994731,550.0,1.7808689195967367,-0.9869889039559153,566.81,17.82,4.89,54.37,6.93,84.49,1.23,4.43,2.21,5.83,No,Blue,No,2,23,170146.937,0
316,-1.399973993183709,805.65,-0.0793571104042242,-1.9655898002294858,539.13,48.83,3.45,21.07,18.09,88.33,1.38,4.79,2.91,3.27,No,Yellow,No,2,28,12089.47772,0
3695,-0.37537982083825683,1628.7,-1.1878277437103808,0.9702128885912258,1050.53,22.52,4.62,63.67,22.81,99.9,1.4,2.94,7.48,4.75,No,Yellow,No,1,21,250912.0961,0
5734,-0.23043518677934924,1672.39,-1.1878277437103808,-0.9869889039559153,92.0,20.61,5.58,15.96,3.83,89.6,1.25,5.15,10.0,8.15,No,Blue,No,1,13,241890.0597,0
714,-0.969994141912348,1235.84,-0.3037984130226328,-0.9869889039559153,772.48,1.79,5.65,93.07,4.31,85.55,1.26,3.35,0.93,7.36,No,Green,Yes,2,49,242515.5896,0
2063,-0.7067781890354347,550.0,-0.1422303706912895,-0.9869889039559153,705.9,44.28,6.59,46.35,13.79,92.19,1.28,2.77,7.48,6.47,Yes,White,No,1,15,213104.6161,0
22,-0.28529214299870537,1336.19,-1.078905582052264,0.9702128885912258,305.2,53.4,7.71,72.88,32.06,94.68,1.07,3.45,2.02,3.73,No,White,Yes,1,16,263213.226,0
2450,-1.2115199928835303,550.0,0.6664769730190585,-0.9869889039559153,713.06,65.56,3.6,51.39,10.6,97.76,1.88,4.22,6.66,10.0,No,Green,Yes,1,14,23432.68525,0
2098,-0.6523849844476287,1291.88,-1.1878277437103808,-0.9869889039559153,898.43,25.63,2.98,4.18,22.9,89.63,1.62,3.49,3.49,4.46,No,Red,No,2,30,132729.8008,0
2805,-0.2818448509706996,1053.69,-1.1878277437103808,-0.9869889039559153,313.56,19.43,3.74,45.34,24.81,85.75,0.59,2.15,1.4,2.3,No,Yellow,No,1,15,211702.7004,0
6925,-0.47286467823111694,632.37,0.1935597314617602,-0.008388007682344774,804.15,38.96,6.82,19.22,22.32,99.9,1.0,3.03,3.23,4.84,No,Green,No,1,18,249761.8952,0
4475,-0.3509122716518805,1581.07,0.7870013971875875,-0.008388007682344774,885.17,25.67,10.0,33.39,7.31,96.54,0.88,6.19,5.46,6.48,No,White,No,1,8,415147.2679,1
3648,-0.3868106610474816,1230.22,0.08568029374378672,0.9702128885912258,91.7,4.6,7.14,48.75,18.29,95.95,1.8,6.76,7.15,4.11,Yes,Green,No,1,4,282142.1362,0
5691,-0.9651700879357432,1572.71,-1.1878277437103808,-1.9655898002294858,323.24,61.86,3.34,85.1,1.45,94.68,1.17,3.23,3.31,4.37,No,White,No,1,22,64312.6194,0
5551,-1.1308581048141721,602.62,-0.29939941788962593,-0.008388007682344774,660.76,33.84,6.38,142.63,24.74,96.55,1.64,7.35,1.77,4.96,No,Red,No,1,18,94634.57747,0
6599,-1.3857002669424443,550.0,0.0795352611856367,-0.9869889039559153,698.47,41.82,4.43,60.11,51.01,91.44,1.8,3.98,9.89,6.74,No,Green,Yes,1,7,12451.63372,0
5036,-0.7736199525714488,670.27,0.38124346425967137,-0.9869889039559153,774.41,46.63,5.4,41.05,15.59,93.72,0.77,2.81,6.27,4.14,No,White,Yes,1,4,143333.6534,0
1786,-0.7132770210335461,696.7,-1.1878277437103808,-1.9655898002294858,628.28,82.93,4.41,78.26,26.03,96.45,2.19,4.17,6.77,9.1,Yes,Blue,No,1,14,105769.3945,0
1191,-0.343746508412772,749.05,-0.05198634687609036,-1.9655898002294858,549.21,32.97,4.11,37.82,39.85,90.36,2.37,4.6,5.04,5.75,Yes,Yellow,No,1,6,143465.3715,0
6232,-1.1795934578522922,652.13,-0.024072781319825664,-0.9869889039559153,428.53,34.3,7.96,89.84,20.91,95.29,1.35,6.4,5.18,6.83,No,Yellow,No,1,3,68910.55476,0
4977,-0.7703294444786503,550.0,-0.805001927432481,-0.008388007682344774,678.54,11.66,6.18,74.67,21.57,95.06,0.87,1.06,2.21,3.64,No,Yellow,No,1,18,112741.7401,0
2028,-0.7708382625595945,550.0,1.4953319828080731,-0.008388007682344774,193.33,23.38,8.3,107.01,12.61,99.9,1.33,5.61,4.46,4.32,No,Green,Yes,1,17,103625.2398,0
1259,-1.2981372251432528,1291.47,-1.0412855185336183,-0.9869889039559153,428.66,31.55,5.69,119.97,33.04,81.08,1.17,3.51,2.36,3.74,Yes,Green,Yes,1,9,27149.45537,0
2508,-1.2945452840172844,813.44,-1.1878277437103808,-0.9869889039559153,83.54,57.88,0.74,46.58,2.1,89.92,0.85,2.67,7.85,8.66,Yes,Yellow,No,1,17,45209.23347,0
5054,-0.26932315602036677,1179.48,0.5941612052286351,-0.008388007682344774,452.14,14.4,6.98,39.99,10.63,96.69,2.13,6.08,6.41,5.11,Yes,Red,No,1,18,301617.6541,0
173,-1.3110280750016277,550.0,-1.1014574711388319,-0.008388007682344774,192.6,34.62,5.87,86.63,48.12,99.29,1.89,2.65,5.55,5.46,No,Blue,Yes,1,6,46990.28354,0
3316,-0.7055100239576052,790.7,1.7402008108512539,-0.9869889039559153,498.91,38.64,4.06,86.05,41.41,93.65,0.93,4.82,1.61,2.62,No,Blue,Yes,1,19,189668.507,0
1763,-0.8133924104005967,550.0,-0.1704565727458086,-0.008388007682344774,354.63,36.38,10.0,50.07,20.66,94.29,1.21,4.86,2.6,5.21,No,Yellow,Yes,1,12,108712.7367,0
1145,-1.3014804407304756,594.91,-0.8655560204765819,-0.008388007682344774,645.44,38.01,2.21,14.38,45.92,88.14,0.94,2.2,5.52,2.09,No,Red,No,1,27,28701.33948,0
6289,-0.6035698852441476,632.61,1.1502012731391869,-0.9869889039559153,408.07,29.34,7.98,85.38,35.24,95.69,1.28,6.63,6.31,6.16,Yes,Yellow,No,1,5,351889.3731,0
1675,-1.1476504260485691,571.32,-1.1878277437103808,-1.9655898002294858,46.44,6.49,5.28,40.84,14.63,88.62,1.5,1.01,0.68,4.06,No,Red,No,1,11,49422.98281,0
4323,-0.8683430942861347,550.0,-0.1493917836821613,-0.008388007682344774,214.69,26.01,6.87,58.66,23.64,95.57,1.27,1.41,5.84,7.76,No,Blue,No,1,14,118013.7576,0
541,-1.210253055807011,697.91,-0.5360356048480164,-1.9655898002294858,485.98,1.36,5.06,40.3,25.53,93.92,1.44,3.6,3.11,5.49,Yes,White,Yes,1,9,54628.70202,0
352,-0.23785582422103166,714.31,-1.1878277437103808,1.9488137848647964,380.52,32.9,5.5,73.3,28.85,92.22,1.7,1.56,0.67,1.1,No,Blue,Yes,1,26,381483.2368,0
4349,-0.3931345308285138,1261.43,1.4096509606224514,-1.9655898002294858,326.72,52.91,7.24,33.88,9.32,99.9,2.29,5.48,4.6,5.55,No,Red,Yes,2,34,158167.546,0
1994,-0.9387524953104678,550.0,-0.7079507431891752,0.9702128885912258,213.87,20.44,5.62,25.98,3.98,98.67,1.47,3.81,10.0,4.96,No,White,No,1,23,76275.3186,0
1685,-0.7838250849824254,711.33,0.23017149439915544,-0.9869889039559153,571.29,66.96,5.0,5.4,0.52,88.44,0.95,4.54,6.37,6.0,Yes,Red,Yes,1,15,123542.7929,0
6110,-0.34740823717286695,761.64,1.1346984717798374,-0.008388007682344774,811.58,6.78,9.36,74.82,34.44,96.16,1.38,8.6,6.43,6.46,Yes,Yellow,No,1,11,204613.7284,1
2020,-0.5315079221005405,1301.32,-0.7219687259077829,-0.008388007682344774,701.13,3.54,8.65,6.28,11.38,99.9,1.13,6.51,8.97,9.25,Yes,Green,Yes,1,16,377284.1516,0
6906,-0.3509428065304527,1078.07,-1.1878277437103808,0.9702128885912258,579.4,8.36,6.3,52.26,12.18,98.92,2.12,2.97,5.1,5.58,No,Red,No,1,17,213616.2937,0
3489,-0.8916527567748374,758.47,-0.9120185869357064,-0.008388007682344774,245.91,0.37,8.41,41.65,13.94,87.99,1.59,2.43,8.08,5.13,No,White,Yes,1,7,123377.7762,0
4904,-0.8289563161071749,550.0,-0.4980713171893259,-0.008388007682344774,437.87,46.24,6.83,142.29,1.15,87.74,1.5,4.27,2.23,8.23,No,Green,No,1,20,159061.2775,1
2070,-1.1921267369039241,550.0,0.3835647743010838,-0.9869889039559153,222.52,48.93,6.21,56.84,25.34,99.44,1.45,4.03,8.27,5.98,Yes,Red,No,2,25,31103.3638,1
777,-1.297175839299526,550.0,-1.1676052277186681,-0.9869889039559153,249.64,28.0,7.78,37.67,23.21,91.28,2.13,3.79,8.08,9.23,Yes,Blue,Yes,2,33,32633.47564,0
3148,-1.3646586794545865,632.25,-0.9063825713718578,-0.9869889039559153,575.53,15.28,5.24,14.13,17.2,90.94,2.28,0.31,6.88,3.83,Yes,Blue,No,1,19,-8239.721048,0
5494,-0.5292118859626986,1232.61,-0.4128227413369659,-0.008388007682344774,473.43,44.28,4.12,18.37,17.33,93.21,2.16,3.86,4.79,2.42,Yes,White,Yes,1,15,233923.1774,0
4059,-0.6293388321273317,550.0,-1.1878277437103808,-0.9869889039559153,518.19,52.16,5.43,29.55,4.55,91.26,1.58,0.65,8.09,4.62,No,Blue,No,1,18,227343.9593,0
3186,-0.9733143451279417,550.0,1.3921143128250986,-0.9869889039559153,787.11,48.3,6.4,26.32,23.66,90.3,2.04,5.26,7.4,3.17,No,Red,Yes,2,24,158814.8973,0
1017,-0.6547539574702467,935.67,1.0368986193759133,-0.9869889039559153,272.8,26.2,5.97,72.45,45.36,92.73,1.99,4.83,6.64,4.3,No,Red,No,2,24,199375.4755,0
4567,-1.3340350424926901,724.56,-0.26344683476827174,-0.9869889039559153,657.44,25.11,6.21,83.92,16.81,95.44,2.41,3.17,7.54,5.77,Yes,Yellow,No,1,4,41842.93369,1
3397,-1.369476452244445,1296.57,-1.151483464171957,-0.9869889039559153,200.16,14.42,9.42,98.3,42.02,96.18,0.94,4.25,0.33,1.04,No,Green,No,1,14,11138.22858,0
5169,-1.1238750840195342,550.0,-0.49180757296724936,-0.008388007682344774,867.99,45.08,6.71,79.37,14.72,92.22,1.19,4.96,0.11,3.92,No,Green,No,1,21,78858.28945,0
667,-1.1642283058892668,550.0,-0.5044454517522046,-0.008388007682344774,36.3,33.08,7.7,0.45,17.05,94.62,1.81,4.86,6.61,8.72,No,Green,No,1,7,95064.7711,0
6331,-0.37035419683960613,550.0,-1.1878277437103808,-1.9655898002294858,188.62,43.12,5.43,58.95,50.42,96.05,2.0,3.35,2.59,5.35,Yes,Green,No,2,12,229482.455,0
2169,-0.9310482415097262,550.0,-0.4632107119259856,0.9702128885912258,573.81,32.7,8.36,82.24,48.37,99.9,2.33,6.57,10.0,10.0,Yes,Green,Yes,1,18,154441.3792,0
2176,-0.9431410456813285,800.7,-0.9699737342312471,-0.9869889039559153,165.21,59.26,6.04,16.69,2.93,94.49,1.58,3.31,1.18,1.85,Yes,Blue,No,1,4,109959.2055,0
6700,-1.3631959101322095,611.64,0.2923032697823283,-0.9869889039559153,583.16,25.03,9.22,44.69,15.21,94.28,1.05,3.5,7.4,4.77,No,Blue,Yes,1,16,25882.86881,0
2970,-0.651542820616162,1018.85,-0.0369687838525214,-0.008388007682344774,340.4,27.25,6.15,74.12,28.91,89.68,2.33,3.83,10.0,9.5,No,White,No,1,5,457585.2415,0
2820,-1.364614648548597,550.0,-1.0790752242872308,-0.008388007682344774,677.67,40.06,7.08,1.59,2.06,94.5,2.02,3.4,8.06,9.38,No,White,Yes,1,7,7666.795315,0
5660,-0.49204940440467715,777.06,-1.1878277437103808,0.9702128885912258,581.88,25.54,3.84,49.67,7.86,91.97,2.11,1.02,6.7,4.94,No,Red,Yes,1,18,137261.3931,0
1513,-0.22487778227394825,1604.33,0.6441229636525376,-0.008388007682344774,284.84,5.26,9.26,76.78,31.67,86.14,0.79,5.53,4.03,4.86,Yes,White,Yes,1,4,391905.8819,0
3553,-1.1540155637326424,1021.28,-0.5701950226267765,-1.9655898002294858,31.4,14.06,6.03,97.46,16.94,99.9,1.81,4.4,2.56,6.7,No,Red,No,1,13,37249.18079,0
1424,-0.8307982228428239,608.41,0.3092211233725997,-0.9869889039559153,500.72,59.42,4.59,133.6,30.95,87.55,1.85,3.41,1.6,5.46,No,Green,Yes,1,17,72050.01134,0
4790,-0.7699798523507037,942.63,-0.8866100577524281,-0.008388007682344774,166.58,32.47,9.31,28.16,7.47,90.82,1.38,5.08,10.0,9.19,Yes,White,No,1,14,156247.5541,0
1193,-0.6175938819690229,550.0,1.1430555684042556,-0.9869889039559153,340.36,14.6,5.76,51.41,12.25,93.09,1.67,5.18,7.74,8.54,Yes,Blue,No,1,13,138648.2066,1
3226,-0.34295099464627193,611.44,-0.5540232649990856,-0.008388007682344774,610.95,52.23,5.67,84.08,12.89,97.02,1.77,6.58,7.15,3.79,No,Green,Yes,1,19,249175.0575,0
1988,-1.351131765539998,550.0,-1.0396322786645702,-0.9869889039559153,316.35,24.44,4.36,3.09,28.08,99.88,1.48,1.76,6.14,8.09,No,Green,Yes,1,18,20155.61318,0
3269,-0.37638456764799594,1090.17,-0.5267678724270581,-0.9869889039559153,308.17,9.42,6.98,82.51,21.9,99.03,1.58,6.24,9.29,8.11,No,Blue,Yes,1,12,316537.7371,0
10,-0.7089844132596469,1068.3,-1.1878277437103808,-0.008388007682344774,629.24,38.4,4.16,24.07,22.23,91.87,2.2,5.96,8.17,6.01,No,Blue,No,1,17,193122.5853,0
4925,-1.086299215532299,846.7,0.7908570769027324,-1.9655898002294858,519.02,13.62,6.7,10.97,39.44,99.9,1.0,4.46,6.19,5.83,Yes,Green,No,1,18,66485.69605,0
2064,-0.4493178090424254,812.92,0.21285619841635925,-0.008388007682344774,212.02,55.64,6.77,2.86,7.83,98.55,1.48,5.19,6.8,6.44,Yes,Blue,No,1,12,293960.1251,0
1689,-0.956322867919628,550.0,-1.1878277437103808,-1.9655898002294858,173.52,5.12,3.46,84.68,12.89,99.9,2.0,4.88,2.23,5.73,No,Green,Yes,1,13,111433.2985,0
5404,-0.26787164448657613,781.49,-0.07159226500288306,-0.008388007682344774,539.35,5.11,6.09,45.32,22.52,96.38,1.13,5.16,7.64,2.12,No,Yellow,No,1,22,307301.0156,0
507,-1.042824540860804,717.8,-1.1878277437103808,-0.008388007682344774,524.78,33.84,5.74,78.09,20.54,93.32,1.53,4.75,4.81,5.13,No,White,Yes,1,17,59680.49372,0
4331,-0.39271683657149303,734.98,-0.7346096976296449,-0.008388007682344774,349.9,3.66,5.17,59.1,48.91,95.18,1.25,3.51,3.76,3.79,No,Red,No,1,18,140084.4514,0
2939,-0.675867955613685,781.03,-0.027826329024687013,-0.9869889039559153,311.18,31.48,8.14,124.24,6.38,88.7,2.46,6.39,9.28,6.05,No,White,Yes,1,9,128072.156,0
3599,-1.1612971586615208,550.0,-0.0697271064618806,-0.008388007682344774,875.53,19.08,4.66,48.38,0.51,91.91,0.95,3.7,4.89,5.99,No,White,No,1,16,43043.04249,0
6916,-1.3893095529209787,736.17,-1.1878277437103808,-0.008388007682344774,962.13,28.98,5.79,33.47,17.49,92.53,1.66,2.49,5.02,4.69,Yes,White,No,1,10,16039.20848,0
1488,-1.1988594312296919,651.19,-0.15227993792928962,-0.008388007682344774,285.4,46.53,6.42,33.06,13.24,97.83,1.87,3.11,3.71,5.34,Yes,Green,Yes,1,15,48380.39167,0
142,-1.1310871763384516,1536.98,-1.1878277437103808,-1.9655898002294858,267.89,23.77,6.84,93.62,25.63,93.45,2.04,5.3,7.1,8.18,No,Blue,Yes,1,10,64238.44087,1
1493,-0.9659646826990933,803.03,-0.7478142200938568,0.9702128885912258,381.95,2.6,7.11,61.83,41.89,99.46,1.17,4.16,9.17,5.1,No,Red,No,1,18,174861.1223,0
6499,-1.1548661737358124,692.84,-0.2896703990210714,-0.9869889039559153,248.6,39.27,5.63,26.82,31.67,95.32,1.34,2.75,9.22,6.47,No,White,No,1,8,115118.6262,0
510,-1.0010108158771864,1107.8,-0.8431986609533499,-0.9869889039559153,230.53,24.96,5.31,76.35,26.52,91.75,1.28,4.43,4.93,5.23,Yes,White,No,1,14,182958.9357,0
4592,-0.8723277594212187,580.3,0.6736049421860448,-0.9869889039559153,59.3,4.45,7.69,64.01,6.16,91.3,2.37,5.63,4.52,2.99,No,Red,Yes,1,7,197539.4311,0
4841,-0.49937500493366144,1017.19,-0.44969329154420834,-0.9869889039559153,300.08,18.21,5.79,46.61,3.9,89.36,2.07,5.13,7.76,5.76,No,Blue,No,2,48,210598.8555,0
2105,-0.3973332024956617,637.66,-1.0357949161490903,0.9702128885912258,427.73,30.98,7.1,47.63,45.46,96.19,1.12,2.59,6.55,6.19,No,Yellow,Yes,1,6,143789.1121,0
6038,-0.8997271271072069,550.0,-1.1878277437103808,-1.9655898002294858,867.01,40.43,4.65,51.71,34.98,84.17,1.71,3.49,6.22,8.72,No,Yellow,Yes,2,33,58912.65077,0
3468,-1.2141839013206706,597.77,2.21311455106959,-0.9869889039559153,236.83,5.14,7.06,23.25,13.65,86.75,2.27,4.17,0.63,4.17,No,Red,No,1,21,64612.57097,0
2755,-1.2618243659929875,579.94,-0.6682950746889694,-0.008388007682344774,218.13,34.63,6.53,13.91,19.74,94.2,1.4,2.34,10.0,7.15,Yes,White,Yes,1,13,21869.13884,0
4821,-0.48703561290455366,550.0,-0.30825561857206807,-0.9869889039559153,544.57,20.38,5.96,30.74,24.17,94.31,1.05,0.47,3.92,5.35,Yes,Blue,No,1,20,147723.697,1
1802,-0.3920984613280822,615.55,-0.7075273362947349,0.9702128885912258,286.22,41.23,6.94,43.96,11.08,96.66,2.08,4.35,8.13,3.24,No,Green,No,1,16,235603.6163,0
1676,-1.3295801028015246,907.08,-0.5871603369454282,-0.9869889039559153,81.64,23.46,3.26,45.71,32.25,87.67,1.06,0.68,6.78,5.85,Yes,Blue,No,1,12,14314.1817,0
4968,-0.6948143309949292,550.0,0.33600348452582324,-1.9655898002294858,174.71,35.96,3.47,107.04,52.99,91.99,2.3,0.53,0.28,3.21,Yes,Green,Yes,2,52,232106.7543,1
6594,-0.5443425722525214,585.01,0.11160073758119787,-0.9869889039559153,536.05,23.38,8.87,65.9,20.22,98.71,1.02,5.3,7.81,7.26,No,Yellow,Yes,2,29,140944.4679,0
6754,-0.5055929489465576,1025.84,-0.44374270140962435,-0.008388007682344774,281.77,13.57,5.03,30.3,20.69,96.57,1.9,5.84,5.53,7.25,No,Green,Yes,1,12,190206.1275,1
5612,-0.87660265906993,1168.67,-0.41770888873106954,-0.9869889039559153,750.11,2.21,6.12,56.8,7.21,95.52,1.21,7.03,3.49,6.79,No,Yellow,No,1,11,116372.7315,0
6223,-0.25651724735892745,1348.07,-1.1878277437103808,0.9702128885912258,36.94,23.95,10.0,21.52,23.56,92.8,2.2,7.11,10.0,9.62,No,White,No,2,26,203193.2209,0
396,-0.5087907216301986,1188.27,-1.1878277437103808,0.9702128885912258,520.48,13.98,5.53,68.48,14.23,97.75,0.92,6.98,10.0,6.36,No,Yellow,No,1,10,216122.1748,0
2312,-0.243918898888616,1791.91,0.33415531404052007,-0.008388007682344774,552.15,44.82,8.56,72.22,18.3,98.96,2.28,7.18,6.99,5.32,No,Red,No,1,6,556095.5632,0
264,-0.38792707672909904,550.0,-0.6461319938085307,0.9702128885912258,129.04,31.96,5.51,21.36,11.46,94.35,1.85,6.21,2.66,7.84,No,Blue,No,1,22,186088.4746,0
603,-0.9417706981083381,1226.59,-0.0880121861975835,-0.9869889039559153,900.44,5.32,7.48,12.87,20.06,98.24,1.0,6.33,8.28,4.47,No,Red,No,1,9,130453.5625,0
6554,-1.3686419427768945,1168.46,-1.1878277437103808,-1.9655898002294858,13.21,29.58,3.46,51.98,12.09,89.53,1.73,5.73,8.36,8.09,No,Red,No,2,31,40447.49944,0
4842,-0.18556780678649262,776.67,0.5394911369835098,0.9702128885912258,152.43,68.04,6.81,101.03,41.73,91.15,2.16,4.4,6.68,10.0,No,Green,No,1,25,245817.3171,0
